DATE;ID;AMOUNT;TYPE;DESCRIPTION;COUNTRY
;;;COUNTRY;USA;
;;;CURRENCY;USD;
;;;BALANCE_BEGIN;0;
;;;ID;Example 1;
28.09.2016;;12,500.00  ;OTHER;;
30.09.2016;;-2,500.00  ;CASH;;
30.09.2016;;-1,000.00  ;CASH;;
04.10.2016;;-6,000.00  ;CASH;;
04.10.2016;;-1,000.00  ;CASH;;
05.10.2016;;-1,000.00  ;CASH;;
07.10.2016;;-900.00  ;CASH;;
10.10.2016;;-85.64  ;DEBITCARD;;
19.10.2016;;12,500.00  ;WIRE;;
21.10.2016;;-150.00  ;WIRE;;
24.10.2016;;-1,000.00  ;CASH;;
25.10.2016;;-81.01  ;DEBITCARD;;
26.10.2016;;-10,000.00  ;CASH;;
28.10.2016;;-600.00  ;CASH;;
29.10.2016;;-500.00  ;CASH;;
02.11.2016;;-100.00  ;CASH;;
24.12.2016;;300.00  ;OTHER;;
20.03.2017;;-50.00  ;CASH;;
22.03.2017;;13,783.50  ;WIRE;;
23.03.2017;;17,969.00  ;WIRE;;
24.03.2017;;-7,000.00  ;CASH;;
24.03.2017;;-1,000.00  ;CASH;;
27.03.2017;;1,000.00  ;WIRE;;
27.03.2017;;1,500.00  ;WIRE;;
27.03.2017;;3,000.00  ;WIRE;;
27.03.2017;;3,000.00  ;WIRE;;
27.03.2017;;3,000.00  ;WIRE;;
27.03.2017;;8,195.00  ;WIRE;;
27.03.2017;;16,422.00  ;WIRE;;
27.03.2017;;16,580.00  ;WIRE;;
28.03.2017;;-12,000.00  ;CASH;;
27.03.2017;;-1,000.00  ;CASH;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
28.03.2017;;-3,000.00  ;WIRE;;
29.03.2017;;-10,000.00  ;CASH;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
30.03.2017;;-3,000.00  ;WIRE;;
29.03.2017;;17,167.00  ;WIRE;;
29.03.2017;;18,980.50  ;WIRE;;
30.03.2017;;-24,010.00  ;CASH;;
30.03.2017;;-10,000.00  ;CASH;;
30.03.2017;;-884.92  ;DEBITCARD;;
30.03.2017;;-1,000.00  ;CASH;;
30.03.2017;;35,462.00  ;WIRE;;
31.03.2017;;-5,000.00  ;CASH;;
31.03.2017;;-5,000.00  ;CASH;;
31.03.2017;;-10,000.00  ;CASH;;
31.03.2017;;-10,000.00  ;CASH;;
31.03.2017;;-15,000.00  ;CASH;;
31.03.2017;;13,000.00  ;OTHER;;
03.04.2017;;-10,000.00  ;CASH;;
02.04.2017;;-1,000.00  ;CASH;;
04.04.2017;;8,300.00  ;WIRE;;
05.04.2017;;5,000.00  ;WIRE;;
06.04.2017;;-8.00  ;DEBITCARD;;
07.04.2017;;-2,400.00  ;CASH;;
07.04.2017;;-1,000.00  ;CASH;;
10.04.2017;;-8,000.00  ;CASH;;
10.04.2017;;257.83  ;OTHER;;
11.04.2017;;-15,000.00  ;CASH;;
11.04.2017;;-17,200.00  ;CASH;;
11.04.2017;;35,000.00  ;OTHER;;
13.04.2017;;-1,000.00  ;CASH;;
18.04.2017;;-2,500.00  ;CASH;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;-3,000.00  ;WIRE;;
20.04.2017;;9,639.00  ;WIRE;;
20.04.2017;;14,637.00  ;WIRE;;
21.04.2017;;16,362.50  ;WIRE;;
24.04.2017;;8,000.00  ;WIRE;;
24.04.2017;;-3,000.00  ;CASH;;
24.04.2017;;-17,000.00  ;CASH;;
24.04.2017;;-45.15  ;DEBITCARD;;
21.04.2017;;-500.00  ;CASH;;
22.04.2017;;-1,000.00  ;CASH;;
23.04.2017;;-1,000.00  ;CASH;;
25.04.2017;;-3,000.00  ;CASH;;
25.04.2017;;-6,200.00  ;CASH;;
25.04.2017;;-10,000.00  ;CASH;;
25.04.2017;;980.00  ;WIRE;;
25.04.2017;;2,700.00  ;WIRE;;
25.04.2017;;2,990.00  ;WIRE;;
25.04.2017;;3,000.00  ;WIRE;;
25.04.2017;;3,000.00  ;WIRE;;
25.04.2017;;3,000.00  ;WIRE;;
25.04.2017;;3,000.00  ;WIRE;;
25.04.2017;;5,414.50  ;WIRE;;
25.04.2017;;7,350.00  ;WIRE;;
25.04.2017;;11,345.00  ;WIRE;;
26.04.2017;;-5,000.00  ;CASH;;
26.04.2017;;-9,750.00  ;CASH;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
26.04.2017;;-3,000.00  ;WIRE;;
28.04.2017;;-11,400.00  ;CASH;;
28.04.2017;;12,500.00  ;OTHER;;
28.04.2017;;28,014.50  ;WIRE;;
02.05.2017;;-20,000.00  ;CASH;;
02.05.2017;;-30,000.00  ;CASH;;
02.05.2017;;-68.91  ;DEBITCARD;;
02.05.2017;;-72.94  ;DEBITCARD;;
02.05.2017;;34,882.50  ;WIRE;;
02.05.2017;;-1,000.00  ;CASH;;
04.05.2017;;-450.00  ;CASH;;
