DATE				;ID		;AMOUNT		;TYPE			;DESCRIPTION
2019-01-01	;B		;100.0		;					;
2019-01-02	;C		;-100.0		;WIRE			;
2019-01-03	;D		;-1000		;WIRE			;
2019-01-05	;E		;-45			;					;
2019-01-30	;B		;3000			;					;
2019-02-01	;B		;200			;					;
2019-02-02	;F		;-100			;CASH			;
2019-02-05	;D		;-500			;WIRE			;
2019-02-05	;G		;-24.5		;					;
2019-03-15	;D		;1300			;WIRE			;
2019-03-20	;F		;300			;CASH			;
2019-03-21	;D		;1300			;XXX			;
2019-04-15	;B		;4000			;					;
2019-04-20	;B		;-5000		;					;
2019-05-01	;D		;-6000		;WIRE			;
2019-05-03	;D		;-1200		;CASH			;
