DATE;ID;AMOUNT;TYPE;DESCRIPTION
;;;CURRENCY;EUR
;;;BALANCE_BEGIN;3200,00
;;;ID;Mark Monthly
2019-01-01;B;100,00;;
2019-01-02;C;-1000,00;WIRE;
2019-01-03;D;-1000,00;WIRE;
2019-01-05;E;-45,00;;
2019-01-30;B;3000,00;;
2019-02-01;B;200,00;;
2019-02-02;F;-100,00;CASH;
2019-02-05;D;-500,00;WIRE;
2019-02-05;G;-24,50;;
2019-03-15;D;1300,00;WIRE;
2019-03-20;F;300,00;CASH;
2019-03-21;D;1300,00;XXX;
2019-04-15;B;4000,00;;
2019-04-20;B;-5000,00;;
2019-05-01;D;-6000,00;WIRE;This is a lot of money
2019-05-03;D;-1200,00;CASH;
2019-05-05;E;120,00;;
