DATE;AMOUNT;ORIGINATOR_CLEAN;BENEFICIARY_CLEAN
13.10.2016;167,834.21;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
25.02.2015;155,154.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
14.03.2013;13,147.78;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
23.08.2012;42,500.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
30.06.2015;11,101.20;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
23.08.2012;13,958.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;10,005.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
19.05.2014;6,885.83;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
29.12.2016;2,051.50;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
31.10.2016;3,117.07;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
28.11.2013;3,630.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;2,300.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;3,072.90;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;1,595.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;1,980.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
01.08.2012;3,540.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
10.11.2014;1,150.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
22.12.2014;11,805.90;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
22.01.2016;135,006.68;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
31.08.2012;87,336.90;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
14.08.2015;38,894.71;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
12.09.2014;61,425.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
11.08.2015;14,000.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
01.08.2013;10,898.93;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
11.08.2014;10,005.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
31.08.2012;12,411.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
19.07.2016;6,667.14;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
27.08.2012;625,000.00;MAGIC KINGDOM;AGRICULTURE DEPARTMENT
01.08.2012;7,500.00;AGRICULTURE DEPARTMENT;AEROSPATIAL OF THE REPUBLIC
01.08.2012;15,000.00;AGRICULTURE DEPARTMENT;AEROSPATIAL OF THE REPUBLIC
01.08.2012;14,678.61;AGRICULTURE DEPARTMENT;AEROSPATIAL OF THE REPUBLIC
10.11.2014;20,000.00;AGRICULTURE DEPARTMENT;AEROSPATIAL OF THE REPUBLIC
22.12.2014;1,000.00;AGRICULTURE DEPARTMENT;MAGIC KINGDOM
22.01.2016;10,000.00;AEROSPATIAL OF THE REPUBLIC;MAGIC KINGDOM
23.08.2012;9,197.00;AEROSPATIAL OF THE REPUBLIC;MAGIC KINGDOM
01.08.2012;8,625.00;AEROSPATIAL OF THE REPUBLIC;GLORIOUS HEAVENS
19.05.2014;5,420.64;AEROSPATIAL OF THE REPUBLIC;GLORIOUS HEAVENS
29.12.2016;5,000.00;AEROSPATIAL OF THE REPUBLIC;GLORIOUS HEAVENS
23.08.2012;1,383.61;AEROSPATIAL OF THE REPUBLIC;GLORIOUS HEAVENS
01.08.2012;2,605.89;AEROSPATIAL OF THE REPUBLIC;THE FINAL COUNTDOWN
19.05.2014;252,471.35;AEROSPATIAL OF THE REPUBLIC;THE FINAL COUNTDOWN
29.12.2016;42,500.00;AEROSPATIAL OF THE REPUBLIC;THE FINAL COUNTDOWN
31.10.2016;3,117.07;AEROSPATIAL OF THE REPUBLIC;THE FINAL COUNTDOWN
28.11.2013;1,595.00;AEROSPATIAL OF THE REPUBLIC;THE FINAL COUNTDOWN
01.08.2012;10,000.00;GLORIOUS HEAVENS;AGRICULTURE DEPARTMENT
